PC1,cluster
-0.3821677620620239,5
-0.404399287134064,5
-0.2116708716941822,5
-0.5563255380519585,3
0.1431336047512685,2
-0.4758440238063214,3
-0.3759677371470388,5
-1.009606173008174,0
-0.8860319144944294,0
-0.3638934233236832,5
-0.1814434719663096,5
-0.5812679238031635,3
0.126506594439275,2
-0.763665587320298,0
-0.5751785226316455,3
-0.643095417009707,3
0.006456668151168,2
-0.7655897571757687,0
-0.56422568456929,3
-0.625772067623421,3
0.0027485380484442,2
-0.4602476443250653,3
-0.3851324731890247,5
-1.007240993409757,0
-0.8758333983458515,0
-0.3415711749916685,5
-0.1813852084198048,5
-0.5632294071641807,3
0.1619034092874512,2
-0.5523604734271407,3
0.1527736157353383,2
-0.7633783635578377,0
-0.574124723224218,3
-0.632778987140155,3
0.0321027551904636,2
-0.4658524279978236,3
-0.3704037705352511,5
-1.0069256153790571,0
-0.8811086810402837,0
-0.344290350880965,5
-0.1808731701795067,5
-0.4044337598997888,5
-0.182050702969713,5
-0.5518788377985682,3
0.1871455126616719,2
-1.0098217824139422,0
-0.8878009200583977,0
-0.7424653868600495,0
-0.5522870574353421,3
-0.6316668384111481,3
0.0215555255724553,2
-0.4543383739158575,3
-0.3709812569159651,5
-1.0059479271265992,0
-0.8883813010013448,0
-0.3523278978171993,5
-0.1684350667764308,5
-0.5404631174893036,3
0.2337207860759942,2
-0.7581499407296288,0
-0.5065300083276421,3
-0.639850683605391,3
0.0217343426756861,2
-0.4678161334545282,3
-0.3616918861386339,5
-0.7593261396505244,0
-0.5405876279323675,3
-0.6368614606184997,3
0.0528029677824481,2
-0.4738427396547477,3
-0.3759949089421621,5
-1.008746110459793,0
-0.8886945544309972,0
-0.3732076292353626,5
-0.1787889053219804,5
-0.5675764462771415,3
0.1400735287512822,2
-0.997648322214087,0
-0.8829533851490803,0
-0.3452613027562795,5
-0.2242089209974468,5
-0.5432457907199226,3
0.0997411974794306,2
-0.7619831143526797,0
-0.5881021043217222,3
-0.6326953525393076,3
-0.0461512804426875,2
-0.4452228758650012,3
-0.4098823088549763,5
-0.5476457170404021,3
0.1709314057775224,2
-0.7663847948054481,0
-0.5650134228799158,3
